,RND_INIT = 1,RND_INIT = 2,RND_INIT = 1,RND_INIT = 4,RND_INIT = 5
0,0.111111,0.111072,0.110919,0.111069,0.111091
1,0.11533400000000001,0.115297,0.11510099999999999,0.115246,0.115314
2,0.120854,0.120724,0.120528,0.120726,0.120837
3,0.128078,0.127916,0.127661,0.12785199999999999,0.127972
4,0.13763300000000001,0.137463,0.137152,0.137323,0.13752700000000001
5,0.15068000000000001,0.15043500000000001,0.14996000000000001,0.15024199999999999,0.15053
6,0.16898299999999999,0.16863300000000001,0.16792099999999999,0.16836400000000001,0.16877600000000001
7,0.19595899999999999,0.19534199999999999,0.19409899999999999,0.19497500000000001,0.19547999999999999
8,0.23862900000000001,0.23755000000000001,0.23551,0.23724899999999999,0.23799999999999999
9,0.31562899999999999,0.31373600000000001,0.30912200000000001,0.31077100000000002,0.31340699999999999
10,0.48982900000000001,0.48410799999999998,0.47482099999999999,0.47848600000000002,0.48602000000000001
11,1.2622469999999999,1.227722,1.15791,1.171986,1.234585
12,254.85745199999999,1071.815918,95.715728999999996,1276.4941409999999,3136.4101559999999
13,300.88903800000003,1071.815918,667.85229500000003,1344.5,3136.4101559999999
14,372.80261200000001,1071.815918,667.85229500000003,1344.5,3136.4101559999999
15,909.933899,1071.815918,667.85229500000003,1344.5,3136.4101559999999
16,1038.5581050000001,1071.815918,863.13207999999997,2121.7465820000002,3136.4101559999999
17,1038.5581050000001,1071.815918,863.13207999999997,2121.7465820000002,3136.4101559999999
18,1038.5581050000001,1071.815918,1132.246216,2121.7465820000002,3136.4101559999999
19,1038.5581050000001,18781.001952999999,1132.246216,4367.7690430000002,3136.4101559999999
20,1407.7493899999999,,1132.246216,5017.0410160000001,3136.4101559999999
21,1407.7493899999999,,1132.246216,5017.0410160000001,3136.4101559999999
22,1407.7493899999999,,2789.9499510000001,5017.0410160000001,3136.4101559999999
23,8596.7167969999991,,2789.9499510000001,5017.0410160000001,3136.4101559999999
24,8596.7167969999991,,2789.9499510000001,5017.0410160000001,3136.4101559999999
25,8596.7167969999991,,2789.9499510000001,5017.0410160000001,3136.4101559999999
26,8596.7167969999991,,2789.9499510000001,5017.0410160000001,3385.820068
27,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
28,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
29,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
30,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
31,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
32,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
33,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
34,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
35,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
36,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
37,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
38,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
39,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
40,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
41,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
42,8596.7167969999991,,2789.9499510000001,5017.0410160000001,8869.0859380000002
43,8596.7167969999991,,59786.351562000003,5017.0410160000001,8869.0859380000002
44,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
45,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
46,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
47,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
48,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
49,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
50,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
51,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
52,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
53,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
54,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
55,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
56,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
57,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
58,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
59,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
60,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
61,8596.7167969999991,,,5017.0410160000001,8869.0859380000002
62,21456.708984000001,,,5017.0410160000001,8869.0859380000002
63,,,,5017.0410160000001,8869.0859380000002
64,,,,5017.0410160000001,8869.0859380000002
65,,,,5017.0410160000001,8869.0859380000002
66,,,,5017.0410160000001,8869.0859380000002
67,,,,5017.0410160000001,8869.0859380000002
68,,,,5017.0410160000001,8869.0859380000002
69,,,,5017.0410160000001,8869.0859380000002
70,,,,5017.0410160000001,8869.0859380000002
71,,,,5017.0410160000001,8869.0859380000002
72,,,,5017.0410160000001,8869.0859380000002
73,,,,5017.0410160000001,8869.0859380000002
74,,,,18781.001952999999,8869.0859380000002
75,,,,,8869.0859380000002
76,,,,,8869.0859380000002
77,,,,,8869.0859380000002
78,,,,,8869.0859380000002
79,,,,,8869.0859380000002
80,,,,,8869.0859380000002
81,,,,,8869.0859380000002
82,,,,,8869.0859380000002
83,,,,,8869.0859380000002
84,,,,,8869.0859380000002
85,,,,,8869.0859380000002
86,,,,,8869.0859380000002
87,,,,,8869.0859380000002
88,,,,,8869.0859380000002
89,,,,,8869.0859380000002
90,,,,,8869.0859380000002
91,,,,,8869.0859380000002
92,,,,,8869.0859380000002
93,,,,,8869.0859380000002
94,,,,,8869.0859380000002
95,,,,,8869.0859380000002
96,,,,,8869.0859380000002
97,,,,,8869.0859380000002
98,,,,,8869.0859380000002
99,,,,,8869.0859380000002
100,,,,,8869.0859380000002
101,,,,,8869.0859380000002
102,,,,,8869.0859380000002
103,,,,,8869.0859380000002
104,,,,,8869.0859380000002
105,,,,,8869.0859380000002
106,,,,,8869.0859380000002
107,,,,,8869.0859380000002
108,,,,,8869.0859380000002
109,,,,,8869.0859380000002
110,,,,,8869.0859380000002
111,,,,,8869.0859380000002
112,,,,,8869.0859380000002
113,,,,,8869.0859380000002
114,,,,,8869.0859380000002
115,,,,,8869.0859380000002
116,,,,,8869.0859380000002
117,,,,,8869.0859380000002
118,,,,,8869.0859380000002
119,,,,,8869.0859380000002
120,,,,,8869.0859380000002
121,,,,,8869.0859380000002
122,,,,,8869.0859380000002
123,,,,,8869.0859380000002
124,,,,,8869.0859380000002
125,,,,,8869.0859380000002
126,,,,,8869.0859380000002
127,,,,,8869.0859380000002
128,,,,,8869.0859380000002
129,,,,,8869.0859380000002
130,,,,,8869.0859380000002
131,,,,,8869.0859380000002
132,,,,,8869.0859380000002
133,,,,,8869.0859380000002
134,,,,,8869.0859380000002
135,,,,,8869.0859380000002
136,,,,,8869.0859380000002
137,,,,,8869.0859380000002
138,,,,,8869.0859380000002
139,,,,,8869.0859380000002
140,,,,,8869.0859380000002
141,,,,,8869.0859380000002
142,,,,,8869.0859380000002
143,,,,,153533.71875
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,5017.0410160000001,,,,
,5017.0410160000001,,,,
,5017.0410160000001,,,,
,5017.0410160000001,,,,
40,5017.0410160000001,,,,
41,5017.0410160000001,,,,
42,5017.0410160000001,,,,
43,5017.0410160000001,,,,
44,5017.0410160000001,,,,
45,5017.0410160000001,,,,
46,5017.0410160000001,,,,
47,5017.0410160000001,,,,
48,5017.0410160000001,,,,
49,5017.0410160000001,,,,
50,5017.0410160000001,,,,
51,5017.0410160000001,,,,
52,5017.0410160000001,,,,
53,5017.0410160000001,,,,
54,5017.0410160000001,,,,
55,5017.0410160000001,,,,
56,5017.0410160000001,,,,
57,5017.0410160000001,,,,
58,5017.0410160000001,,,,
59,5017.0410160000001,,,,
60,5017.0410160000001,,,,
61,5017.0410160000001,,,,
62,5017.0410160000001,,,,
63,5017.0410160000001,,,,
64,5017.0410160000001,,,,
65,5017.0410160000001,,,,
66,5017.0410160000001,,,,
67,5017.0410160000001,,,,
68,5017.0410160000001,,,,
69,5017.0410160000001,,,,
70,5017.0410160000001,,,,
71,5017.0410160000001,,,,
72,5017.0410160000001,,,,
73,5017.0410160000001,,,,
74,18781.001952999999,,,,
,,,,,
RND_INIT = 5,,,,,
0,0.111091,,,,
1,0.115314,,,,
2,0.120837,,,,
3,0.127972,,,,
4,0.13752700000000001,,,,
5,0.15053,,,,
6,0.16877600000000001,,,,
7,0.19547999999999999,,,,
8,0.23799999999999999,,,,
9,0.31340699999999999,,,,
10,0.48602000000000001,,,,
11,1.234585,,,,
12,3136.4101559999999,,,,
13,3136.4101559999999,,,,
14,3136.4101559999999,,,,
15,3136.4101559999999,,,,
16,3136.4101559999999,,,,
17,3136.4101559999999,,,,
18,3136.4101559999999,,,,
19,3136.4101559999999,,,,
20,3136.4101559999999,,,,
21,3136.4101559999999,,,,
22,3136.4101559999999,,,,
23,3136.4101559999999,,,,
24,3136.4101559999999,,,,
25,3136.4101559999999,,,,
26,3385.820068,,,,
27,8869.0859380000002,,,,
28,8869.0859380000002,,,,
29,8869.0859380000002,,,,
30,8869.0859380000002,,,,
31,8869.0859380000002,,,,
32,8869.0859380000002,,,,
33,8869.0859380000002,,,,
34,8869.0859380000002,,,,
35,8869.0859380000002,,,,
36,8869.0859380000002,,,,
37,8869.0859380000002,,,,
38,8869.0859380000002,,,,
39,8869.0859380000002,,,,
40,8869.0859380000002,,,,
41,8869.0859380000002,,,,
42,8869.0859380000002,,,,
43,8869.0859380000002,,,,
44,8869.0859380000002,,,,
45,8869.0859380000002,,,,
46,8869.0859380000002,,,,
47,8869.0859380000002,,,,
48,8869.0859380000002,,,,
49,8869.0859380000002,,,,
50,8869.0859380000002,,,,
51,8869.0859380000002,,,,
52,8869.0859380000002,,,,
53,8869.0859380000002,,,,
54,8869.0859380000002,,,,
55,8869.0859380000002,,,,
56,8869.0859380000002,,,,
57,8869.0859380000002,,,,
58,8869.0859380000002,,,,
59,8869.0859380000002,,,,
60,8869.0859380000002,,,,
61,8869.0859380000002,,,,
62,8869.0859380000002,,,,
63,8869.0859380000002,,,,
64,8869.0859380000002,,,,
65,8869.0859380000002,,,,
66,8869.0859380000002,,,,
67,8869.0859380000002,,,,
68,8869.0859380000002,,,,
69,8869.0859380000002,,,,
70,8869.0859380000002,,,,
71,8869.0859380000002,,,,
72,8869.0859380000002,,,,
73,8869.0859380000002,,,,
74,8869.0859380000002,,,,
75,8869.0859380000002,,,,
76,8869.0859380000002,,,,
77,8869.0859380000002,,,,
78,8869.0859380000002,,,,
79,8869.0859380000002,,,,
80,8869.0859380000002,,,,
81,8869.0859380000002,,,,
82,8869.0859380000002,,,,
83,8869.0859380000002,,,,
84,8869.0859380000002,,,,
85,8869.0859380000002,,,,
86,8869.0859380000002,,,,
87,8869.0859380000002,,,,
88,8869.0859380000002,,,,
89,8869.0859380000002,,,,
90,8869.0859380000002,,,,
91,8869.0859380000002,,,,
92,8869.0859380000002,,,,
93,8869.0859380000002,,,,
94,8869.0859380000002,,,,
95,8869.0859380000002,,,,
96,8869.0859380000002,,,,
97,8869.0859380000002,,,,
98,8869.0859380000002,,,,
99,8869.0859380000002,,,,
100,8869.0859380000002,,,,
101,8869.0859380000002,,,,
102,8869.0859380000002,,,,
103,8869.0859380000002,,,,
104,8869.0859380000002,,,,
105,8869.0859380000002,,,,
106,8869.0859380000002,,,,
107,8869.0859380000002,,,,
108,8869.0859380000002,,,,
109,8869.0859380000002,,,,
110,8869.0859380000002,,,,
111,8869.0859380000002,,,,
112,8869.0859380000002,,,,
113,8869.0859380000002,,,,
114,8869.0859380000002,,,,
115,8869.0859380000002,,,,
116,8869.0859380000002,,,,
117,8869.0859380000002,,,,
118,8869.0859380000002,,,,
119,8869.0859380000002,,,,
120,8869.0859380000002,,,,
121,8869.0859380000002,,,,
122,8869.0859380000002,,,,
123,8869.0859380000002,,,,
124,8869.0859380000002,,,,
125,8869.0859380000002,,,,
126,8869.0859380000002,,,,
127,8869.0859380000002,,,,
128,8869.0859380000002,,,,
129,8869.0859380000002,,,,
130,8869.0859380000002,,,,
131,8869.0859380000002,,,,
132,8869.0859380000002,,,,
133,8869.0859380000002,,,,
134,8869.0859380000002,,,,
135,8869.0859380000002,,,,
136,8869.0859380000002,,,,
137,8869.0859380000002,,,,
138,8869.0859380000002,,,,
139,8869.0859380000002,,,,
140,8869.0859380000002,,,,
141,8869.0859380000002,,,,
142,8869.0859380000002,,,,
143,153533.71875,,,,
,,,,,
